日付,天気,売り上げ
2020-06-16,晴れ,172208
2020-06-17,晴れ,146234
2020-06-18,晴れ,167039
2020-06-19,晴れ,182756
2020-06-20,晴れ,182364
2020-06-21,くもり,171923
2020-06-22,くもり,153617
2020-06-23,くもり,142712
2020-06-24,雨,117570
2020-06-25,晴れ,171838
2020-06-26,晴れ,190880
2020-06-27,くもり,169065
2020-06-28,晴れ,197053
2020-06-29,くもり,147481
2020-06-30,くもり,131472
2020-07-01,くもり,141659
2020-07-02,晴れ,179351
2020-07-03,晴れ,190708
2020-07-04,くもり,181602
2020-07-05,くもり,152510
2020-07-06,くもり,144941
2020-07-07,晴れ,164351
2020-07-08,晴れ,153054
2020-07-09,晴れ,175842
2020-07-10,晴れ,206529
2020-07-11,晴れ,199691
2020-07-12,晴れ,199832
2020-07-13,くもり,154465
2020-07-14,くもり,154225
2020-07-15,晴れ,163578
2020-07-16,晴れ,181238
2020-07-17,晴れ,174594
2020-07-18,晴れ,196740
2020-07-19,雨,150930
2020-07-20,晴れ,186734
2020-07-21,晴れ,157892
2020-07-22,晴れ,157447
2020-07-23,晴れ,182046
2020-07-24,晴れ,199543
2020-07-25,くもり,175488
2020-07-26,晴れ,198354
2020-07-27,晴れ,167267
2020-07-28,雨,124236
2020-07-29,晴れ,156587
2020-07-30,晴れ,173110
2020-07-31,晴れ,195055
2020-08-01,晴れ,210629
2020-08-02,晴れ,195921
2020-08-03,晴れ,172987
2020-08-04,くもり,148796
2020-08-05,くもり,143117
2020-08-06,くもり,151716
2020-08-07,くもり,155484
2020-08-08,くもり,168848
2020-08-09,晴れ,190150
2020-08-10,晴れ,165875
2020-08-11,晴れ,171059
2020-08-12,晴れ,181235
2020-08-13,晴れ,182031
2020-08-14,晴れ,197433
2020-08-15,晴れ,195251
2020-08-16,晴れ,187549
2020-08-17,くもり,160227
2020-08-18,晴れ,172629
2020-08-19,晴れ,161417
2020-08-20,晴れ,184250
2020-08-21,晴れ,179887
2020-08-22,晴れ,186440
2020-08-23,晴れ,186059
2020-08-24,晴れ,177581
2020-08-25,晴れ,166751
2020-08-26,くもり,143016
2020-08-27,くもり,157555
2020-08-28,くもり,183118
2020-08-29,晴れ,212447
2020-08-30,晴れ,196878
2020-08-31,晴れ,173559
2020-09-01,晴れ,153838
2020-09-02,晴れ,152536
2020-09-03,くもり,142088
2020-09-04,くもり,157106
2020-09-05,くもり,161131
2020-09-06,晴れ,190642
2020-09-07,くもり,139203
2020-09-08,くもり,134370
2020-09-09,くもり,131317
2020-09-10,くもり,143822
2020-09-11,雨,134148
2020-09-12,くもり,167236
2020-09-13,雨,127533
2020-09-14,雨,120928
2020-09-15,雨,116603
2020-09-16,雨,119916
2020-09-17,晴れ,168390
2020-09-18,晴れ,162486
2020-09-19,くもり,156486
2020-09-20,晴れ,180612
2020-09-21,くもり,144369
2020-09-22,くもり,138508
2020-09-23,雨,122538
2020-09-24,くもり,142023
2020-09-25,くもり,161984
2020-09-26,くもり,175377
2020-09-27,雨,132354
2020-09-28,くもり,142724
2020-09-29,雨,95122
2020-09-30,雨,119726
2020-10-01,くもり,154947
2020-10-02,くもり,142887
2020-10-03,くもり,159558
2020-10-04,くもり,154891
2020-10-05,晴れ,166727
2020-10-06,晴れ,159898
2020-10-07,くもり,130484
2020-10-08,くもり,136583
2020-10-09,雨,125994
2020-10-10,くもり,159702
2020-10-11,雨,136509
2020-10-12,くもり,150625
2020-10-13,晴れ,144387
2020-10-14,くもり,135967
2020-10-15,雨,130650
2020-10-16,くもり,155161
2020-10-17,雨,132981
2020-10-18,くもり,152036
2020-10-19,くもり,140994
2020-10-20,くもり,145016
2020-10-21,晴れ,151844
2020-10-22,雨,115926
2020-10-23,くもり,164534
2020-10-24,晴れ,184070
2020-10-25,晴れ,152985
2020-10-26,くもり,135278
2020-10-27,晴れ,142461
2020-10-28,晴れ,159674
2020-10-29,晴れ,154219
2020-10-30,晴れ,180021
2020-10-31,晴れ,178737
2020-11-01,晴れ,170115
2020-11-02,晴れ,155949
2020-11-03,晴れ,147210
2020-11-04,くもり,126969
2020-11-05,くもり,135014
2020-11-06,雨,124346
2020-11-07,晴れ,172923
2020-11-08,晴れ,171611
2020-11-09,晴れ,148659
2020-11-10,くもり,132251
2020-11-11,晴れ,141767
2020-11-12,晴れ,145454
2020-11-13,晴れ,173845
2020-11-14,くもり,158921
2020-11-15,晴れ,166078
2020-11-16,晴れ,165947
2020-11-17,晴れ,159729
2020-11-18,くもり,128744
2020-11-19,くもり,132708
2020-11-20,晴れ,169500
2020-11-21,くもり,151576
2020-11-22,雨,124383
2020-11-23,くもり,123111
2020-11-24,雨,106089
2020-11-25,くもり,136369
2020-11-26,晴れ,163969
2020-11-27,晴れ,164399
2020-11-28,晴れ,159334
2020-11-29,晴れ,179562
2020-11-30,くもり,141076
2020-12-01,くもり,129132
2020-12-02,雨,102255
2020-12-03,くもり,129048
2020-12-04,くもり,142541
2020-12-05,くもり,144250
2020-12-06,晴れ,165990
2020-12-07,晴れ,145540
2020-12-08,晴れ,144522
2020-12-09,晴れ,147204
2020-12-10,くもり,130616
2020-12-11,くもり,142593
2020-12-12,晴れ,185916
2020-12-13,晴れ,177051
2020-12-14,晴れ,152846
2020-12-15,くもり,117420
2020-12-16,くもり,120430
2020-12-17,くもり,135366
2020-12-18,くもり,157387
2020-12-19,雨,126294
2020-12-20,くもり,140028
2020-12-21,くもり,132303
2020-12-22,くもり,119865
2020-12-23,くもり,130063
2020-12-24,くもり,116362
2020-12-25,くもり,151016
2020-12-26,晴れ,172591
2020-12-27,くもり,147981
2020-12-28,くもり,126942
2020-12-29,くもり,132225
2020-12-30,くもり,131300
2020-12-31,晴れ,145365
2021-01-01,晴れ,174540
2021-01-02,晴れ,193787
2021-01-03,晴れ,172896
2021-01-04,くもり,128186
2021-01-05,晴れ,140460
2021-01-06,雨,110036
2021-01-07,晴れ,153223
2021-01-08,晴れ,185287
2021-01-09,晴れ,179970
2021-01-10,晴れ,191139
2021-01-11,晴れ,173063
2021-01-12,晴れ,139469
2021-01-13,くもり,140787
2021-01-14,くもり,136786
2021-01-15,晴れ,181288
2021-01-16,晴れ,186818
2021-01-17,晴れ,173645
2021-01-18,晴れ,165996
2021-01-19,晴れ,160245
2021-01-20,晴れ,153403
2021-01-21,晴れ,167532
2021-01-22,晴れ,201087
2021-01-23,晴れ,183999
2021-01-24,晴れ,178439
2021-01-25,晴れ,160880
2021-01-26,晴れ,153188
2021-01-27,晴れ,157156
2021-01-28,晴れ,163234
2021-01-29,晴れ,169558
2021-01-30,くもり,157985
2021-01-31,くもり,153715
2021-02-01,晴れ,155068
2021-02-02,くもり,136119
2021-02-03,くもり,129416
2021-02-04,雨,115290
2021-02-05,晴れ,163329
2021-02-06,晴れ,176925
2021-02-07,晴れ,170457
2021-02-08,晴れ,159692
2021-02-09,晴れ,160073
2021-02-10,晴れ,167184
2021-02-11,くもり,149077
2021-02-12,くもり,155542
2021-02-13,くもり,176370
2021-02-14,くもり,152092
2021-02-15,くもり,134282
2021-02-16,くもり,131474
2021-02-17,くもり,138479
2021-02-18,雨,113638
2021-02-19,晴れ,185578
2021-02-20,くもり,149284
2021-02-21,くもり,155397
2021-02-22,雨,116801
2021-02-23,くもり,134464
2021-02-24,くもり,127578
2021-02-25,くもり,143241
2021-02-26,雨,125444
2021-02-27,晴れ,171060
2021-02-28,くもり,143607
2021-03-01,雨,117059
2021-03-02,雨,116713
2021-03-03,晴れ,175982
2021-03-04,晴れ,175358
2021-03-05,晴れ,183264
2021-03-06,晴れ,194689
2021-03-07,晴れ,190691
2021-03-08,晴れ,184042
2021-03-09,くもり,146025
2021-03-10,晴れ,163382
2021-03-11,晴れ,172073
2021-03-12,晴れ,182983
2021-03-13,晴れ,204830
2021-03-14,晴れ,193294
2021-03-15,くもり,140087
2021-03-16,雨,107919
2021-03-17,くもり,140082
2021-03-18,雨,123404
2021-03-19,くもり,156893
2021-03-20,晴れ,174894
2021-03-21,晴れ,189167
2021-03-22,晴れ,157044
2021-03-23,くもり,150922
2021-03-24,晴れ,152796
2021-03-25,晴れ,174649
2021-03-26,雨,132942
2021-03-27,雨,144072
2021-03-28,くもり,158403
2021-03-29,くもり,144985
2021-03-30,くもり,143149
2021-03-31,晴れ,159178
2021-04-01,晴れ,175411
2021-04-02,晴れ,197498
2021-04-03,晴れ,193273
2021-04-04,くもり,162424
2021-04-05,くもり,153517
2021-04-06,くもり,139356
2021-04-07,くもり,134229
2021-04-08,雨,132025
2021-04-09,くもり,165729
2021-04-10,晴れ,188293
2021-04-11,晴れ,183546
2021-04-12,晴れ,172157
2021-04-13,くもり,150459
2021-04-14,晴れ,151519
2021-04-15,雨,130707
2021-04-16,晴れ,172400
2021-04-17,晴れ,196162
2021-04-18,晴れ,210704
2021-04-19,晴れ,169825
2021-04-20,くもり,150101
2021-04-21,雨,122741
2021-04-22,くもり,132683
2021-04-23,くもり,164320
2021-04-24,くもり,172531
2021-04-25,晴れ,182667
2021-04-26,晴れ,170650
2021-04-27,晴れ,167214
2021-04-28,くもり,135738
2021-04-29,くもり,160079
2021-04-30,晴れ,193679
2021-05-01,晴れ,201054
2021-05-02,雨,148978
2021-05-03,晴れ,162061
2021-05-04,晴れ,175481
2021-05-05,晴れ,166112
2021-05-06,晴れ,183325
2021-05-07,晴れ,202660
2021-05-08,晴れ,202923
2021-05-09,晴れ,180420
2021-05-10,くもり,158959
2021-05-11,晴れ,169406
2021-05-12,晴れ,160006
2021-05-13,晴れ,185733
2021-05-14,晴れ,188947
2021-05-15,晴れ,208127
2021-05-16,晴れ,208079
2021-05-17,晴れ,195606
2021-05-18,くもり,154499
2021-05-19,くもり,144382
2021-05-20,雨,127887
2021-05-21,雨,143901
2021-05-22,くもり,170929
2021-05-23,くもり,162758
2021-05-24,雨,134025
2021-05-25,雨,127165
2021-05-26,くもり,148019
2021-05-27,晴れ,175819
2021-05-28,雨,150295
2021-05-29,雨,153236
2021-05-30,くもり,169602
2021-05-31,くもり,153359
2021-06-01,くもり,146744
2021-06-02,くもり,155036
2021-06-03,雨,124177
2021-06-04,晴れ,178515
2021-06-05,くもり,187119
2021-06-06,くもり,162546
2021-06-07,雨,134877
2021-06-08,雨,123816
2021-06-09,晴れ,175842
2021-06-10,くもり,166804
2021-06-11,くもり,164693
2021-06-12,雨,159785
2021-06-13,雨,137483
2021-06-14,くもり,161947
2021-06-15,雨,125784
2021-06-16,雨,130058
2021-06-17,雨,130050
2021-06-18,雨,154172
2021-06-19,くもり,185576
2021-06-20,くもり,166325
2021-06-21,くもり,151112
2021-06-22,晴れ,171889
2021-06-23,晴れ,165201
2021-06-24,晴れ,180359
2021-06-25,晴れ,198286
2021-06-26,くもり,178759
2021-06-27,雨,138428
2021-06-28,雨,136787
2021-06-29,雨,129311
2021-06-30,くもり,145806
2021-07-01,雨,143809
2021-07-02,晴れ,187168
2021-07-03,晴れ,219703
2021-07-04,晴れ,193365
2021-07-05,晴れ,180817
2021-07-06,晴れ,171092
2021-07-07,くもり,151144
2021-07-08,晴れ,200013
2021-07-09,晴れ,201343
2021-07-10,くもり,188732
2021-07-11,晴れ,195730
2021-07-12,晴れ,185491
2021-07-13,くもり,146756
2021-07-14,晴れ,183192
2021-07-15,くもり,170505
2021-07-16,雨,158712
2021-07-17,晴れ,219486
2021-07-18,晴れ,214356
2021-07-19,晴れ,190175
2021-07-20,くもり,153809
2021-07-21,晴れ,161598
2021-07-22,晴れ,176792
2021-07-23,晴れ,220697
2021-07-24,晴れ,215829
2021-07-25,くもり,169182
2021-07-26,雨,140206
2021-07-27,雨,135909
2021-07-28,晴れ,186917
2021-07-29,くもり,160721
2021-07-30,くもり,188350
2021-07-31,くもり,183145
2021-08-01,晴れ,203853
2021-08-02,晴れ,171263
2021-08-03,晴れ,166967
2021-08-04,晴れ,164439
2021-08-05,くもり,155164
2021-08-06,晴れ,202172
2021-08-07,くもり,177846
2021-08-08,晴れ,202754
2021-08-09,晴れ,193010
2021-08-10,晴れ,173369
2021-08-11,晴れ,184344
2021-08-12,晴れ,191497
2021-08-13,晴れ,207390
2021-08-14,くもり,187254
2021-08-15,くもり,187663
2021-08-16,くもり,156869
2021-08-17,くもり,159904
2021-08-18,くもり,145506
2021-08-19,くもり,155328
2021-08-20,くもり,187724
2021-08-21,晴れ,195679
2021-08-22,晴れ,195238
2021-08-23,晴れ,187982
2021-08-24,晴れ,177759
2021-08-25,晴れ,172964
2021-08-26,晴れ,174735
2021-08-27,晴れ,204370
2021-08-28,晴れ,214103
2021-08-29,くもり,178841
2021-08-30,くもり,158697
2021-08-31,晴れ,175602
2021-09-01,晴れ,157820
2021-09-02,くもり,147532
2021-09-03,くもり,174356
2021-09-04,くもり,176311
2021-09-05,晴れ,186886
2021-09-06,くもり,148992
2021-09-07,雨,110172
2021-09-08,くもり,142859
2021-09-09,雨,131293
2021-09-10,雨,136636
2021-09-11,雨,144103
2021-09-12,雨,136212
2021-09-13,くもり,144054
2021-09-14,晴れ,146602
2021-09-15,晴れ,155974
2021-09-16,晴れ,159367
2021-09-17,くもり,162379
2021-09-18,くもり,160711
2021-09-19,くもり,151474
2021-09-20,くもり,150029
2021-09-21,晴れ,161951
2021-09-22,くもり,133013
2021-09-23,晴れ,178250
2021-09-24,くもり,158765
2021-09-25,くもり,169978
2021-09-26,くもり,151111
2021-09-27,くもり,143977
2021-09-28,くもり,141667
2021-09-29,くもり,149659
2021-09-30,くもり,142425
2021-10-01,くもり,153253
2021-10-02,晴れ,211809
2021-10-03,晴れ,195512
2021-10-04,晴れ,176586
2021-10-05,晴れ,164959
2021-10-06,くもり,139926
2021-10-07,くもり,153206
2021-10-08,くもり,167465
2021-10-09,くもり,162070
2021-10-10,晴れ,184633
2021-10-11,晴れ,154657
2021-10-12,くもり,155098
2021-10-13,雨,125300
2021-10-14,くもり,144292
2021-10-15,くもり,173397
2021-10-16,雨,143095
2021-10-17,雨,147268
2021-10-18,くもり,136960
2021-10-19,晴れ,151460
2021-10-20,くもり,141308
2021-10-21,くもり,143795
2021-10-22,くもり,156576
2021-10-23,雨,140688
2021-10-24,雨,144309
2021-10-25,くもり,151049
2021-10-26,晴れ,158895
2021-10-27,晴れ,149451
2021-10-28,晴れ,180142
2021-10-29,雨,142445
2021-10-30,くもり,165993
2021-10-31,雨,136481
2021-11-01,くもり,144085
2021-11-02,晴れ,151116
2021-11-03,晴れ,135429
2021-11-04,くもり,135294
2021-11-05,くもり,153513
2021-11-06,くもり,158276
2021-11-07,くもり,162432
2021-11-08,くもり,131092
2021-11-09,晴れ,154410
2021-11-10,くもり,146612
2021-11-11,晴れ,163785
2021-11-12,晴れ,178547
2021-11-13,晴れ,177273
2021-11-14,晴れ,187632
2021-11-15,晴れ,149524
2021-11-16,くもり,129093
2021-11-17,晴れ,160308
2021-11-18,晴れ,159322
2021-11-19,くもり,141995
2021-11-20,くもり,153837
2021-11-21,くもり,138625
2021-11-22,くもり,148824
2021-11-23,雨,110285
2021-11-24,晴れ,152463
2021-11-25,晴れ,166881
2021-11-26,くもり,154806
2021-11-27,くもり,148086
2021-11-28,晴れ,165856
2021-11-29,くもり,140909
2021-11-30,くもり,133643
2021-12-01,くもり,136600
2021-12-02,くもり,153390
2021-12-03,雨,128400
2021-12-04,くもり,163733
2021-12-05,くもり,154439
2021-12-06,くもり,143693
2021-12-07,くもり,137409
2021-12-08,晴れ,160903
2021-12-09,晴れ,157391
2021-12-10,くもり,152876
2021-12-11,くもり,166064
2021-12-12,くもり,153106
2021-12-13,晴れ,163480
2021-12-14,くもり,129191
2021-12-15,雨,102955
2021-12-16,くもり,146595
2021-12-17,くもり,165349
2021-12-18,くもり,164639
2021-12-19,くもり,145226
2021-12-20,晴れ,159271
2021-12-21,晴れ,153336
2021-12-22,くもり,143528
2021-12-23,くもり,144885
2021-12-24,晴れ,180598
2021-12-25,晴れ,193121
2021-12-26,晴れ,179174
2021-12-27,晴れ,165719
2021-12-28,くもり,133059
2021-12-29,雨,110633
2021-12-30,晴れ,167253
2021-12-31,晴れ,183462
2022-01-01,晴れ,180952
2022-01-02,晴れ,182366
2022-01-03,くもり,143148
2022-01-04,雨,127525
2022-01-05,くもり,149383
2022-01-06,雨,127322
2022-01-07,晴れ,203869
2022-01-08,晴れ,183112
2022-01-09,晴れ,187884
2022-01-10,くもり,147686
2022-01-11,雨,114194
2022-01-12,晴れ,146843
2022-01-13,晴れ,170717
2022-01-14,晴れ,174348
2022-01-15,晴れ,196725
2022-01-16,くもり,157764
2022-01-17,くもり,148259
2022-01-18,雨,114990
2022-01-19,晴れ,157129
2022-01-20,晴れ,159151
2022-01-21,晴れ,183358
2022-01-22,晴れ,209003
2022-01-23,晴れ,178582
2022-01-24,晴れ,162648
2022-01-25,くもり,155323
2022-01-26,晴れ,155425
2022-01-27,晴れ,180647
2022-01-28,くもり,165962
2022-01-29,雨,142441
2022-01-30,くもり,157521
2022-01-31,晴れ,166968
2022-02-01,雨,114468
2022-02-02,くもり,139212
2022-02-03,くもり,144550
2022-02-04,くもり,165125
2022-02-05,くもり,164006
2022-02-06,くもり,154019
2022-02-07,晴れ,166079
2022-02-08,晴れ,162571
2022-02-09,晴れ,156174
2022-02-10,晴れ,159834
2022-02-11,雨,138650
2022-02-12,くもり,166052
2022-02-13,雨,130174
2022-02-14,晴れ,160176
2022-02-15,雨,115324
2022-02-16,くもり,132791
2022-02-17,くもり,146529
2022-02-18,晴れ,169209
2022-02-19,晴れ,200595
2022-02-20,くもり,168746
2022-02-21,晴れ,182881
2022-02-22,晴れ,143835
2022-02-23,晴れ,165267
2022-02-24,くもり,153158
2022-02-25,くもり,161532
2022-02-26,晴れ,191381
2022-02-27,くもり,167698
2022-02-28,晴れ,171627
2022-03-01,雨,126007
2022-03-02,晴れ,162199
2022-03-03,晴れ,183824
2022-03-04,晴れ,192026
2022-03-05,晴れ,189015
2022-03-06,晴れ,207407
2022-03-07,晴れ,179560
2022-03-08,雨,128887
2022-03-09,くもり,153604
2022-03-10,くもり,144116
2022-03-11,雨,144846
2022-03-12,くもり,180910
2022-03-13,くもり,174253
2022-03-14,くもり,145867
2022-03-15,雨,122470
2022-03-16,晴れ,170499
2022-03-17,晴れ,182898
2022-03-18,晴れ,199488
2022-03-19,くもり,173550
2022-03-20,晴れ,191863
2022-03-21,晴れ,172421
2022-03-22,晴れ,174045
2022-03-23,くもり,146576
2022-03-24,くもり,141872
2022-03-25,くもり,163467
2022-03-26,くもり,185149
2022-03-27,くもり,183576
2022-03-28,くもり,149998
2022-03-29,晴れ,174910
2022-03-30,くもり,144651
2022-03-31,くもり,158189
2022-04-01,くもり,175748
2022-04-02,くもり,161138
2022-04-03,くもり,164904
2022-04-04,くもり,152192
2022-04-05,くもり,143084
2022-04-06,雨,126851
2022-04-07,雨,137114
2022-04-08,晴れ,191736
2022-04-09,雨,153530
2022-04-10,晴れ,187602
2022-04-11,くもり,142911
2022-04-12,くもり,145948
2022-04-13,晴れ,174077
2022-04-14,晴れ,188143
2022-04-15,晴れ,194181
2022-04-16,雨,150568
2022-04-17,晴れ,186448
2022-04-18,晴れ,167682
2022-04-19,晴れ,158029
2022-04-20,晴れ,169074
2022-04-21,晴れ,166950
2022-04-22,晴れ,192496
2022-04-23,晴れ,206254
2022-04-24,くもり,163947
2022-04-25,雨,135861
2022-04-26,晴れ,182428
2022-04-27,くもり,152762
2022-04-28,晴れ,181820
2022-04-29,くもり,177442
2022-04-30,くもり,172775
2022-05-01,くもり,166256
2022-05-02,晴れ,192963
2022-05-03,くもり,141712
2022-05-04,くもり,152856
2022-05-05,くもり,159255
2022-05-06,雨,143449
2022-05-07,雨,162486
2022-05-08,くもり,178462
2022-05-09,くもり,165535
2022-05-10,雨,135621
2022-05-11,晴れ,160154
2022-05-12,晴れ,188768
2022-05-13,晴れ,201590
2022-05-14,晴れ,204702
2022-05-15,晴れ,206167
2022-05-16,晴れ,171000
2022-05-17,晴れ,177946
2022-05-18,くもり,141596
2022-05-19,雨,132443
2022-05-20,くもり,176594
2022-05-21,雨,153093
2022-05-22,晴れ,211389
2022-05-23,晴れ,178271
2022-05-24,くもり,155633
2022-05-25,くもり,152937
2022-05-26,雨,138806
2022-05-27,くもり,180556
2022-05-28,晴れ,220442
2022-05-29,晴れ,215411
2022-05-30,晴れ,188508
2022-05-31,晴れ,177074
2022-06-01,晴れ,176294
2022-06-02,雨,124158
2022-06-03,晴れ,200796
2022-06-04,くもり,181272
2022-06-05,くもり,171020
2022-06-06,雨,146700
2022-06-07,晴れ,166214
2022-06-08,晴れ,181967
2022-06-09,雨,137146
2022-06-10,くもり,176034
2022-06-11,くもり,190059
2022-06-12,雨,148342
2022-06-13,晴れ,175787
2022-06-14,くもり,162820
2022-06-15,雨,138896
2022-06-16,くもり,163802
2022-06-17,雨,158482
2022-06-18,雨,158950
2022-06-19,くもり,180770
2022-06-20,雨,137691
2022-06-21,雨,127514
2022-06-22,雨,127808
2022-06-23,晴れ,184243
2022-06-24,晴れ,210379
2022-06-25,くもり,181216
2022-06-26,くもり,180976
2022-06-27,くもり,167828
2022-06-28,晴れ,167456
2022-06-29,晴れ,165414
2022-06-30,晴れ,187746
2022-07-01,晴れ,216133
2022-07-02,くもり,192435
2022-07-03,くもり,184614
2022-07-04,晴れ,202864
2022-07-05,晴れ,183825
2022-07-06,雨,136436
2022-07-07,晴れ,186357
2022-07-08,晴れ,222799
2022-07-09,晴れ,221924
2022-07-10,晴れ,219540
2022-07-11,晴れ,198857
2022-07-12,くもり,151196
2022-07-13,晴れ,193113
2022-07-14,晴れ,194871
2022-07-15,晴れ,218872
2022-07-16,晴れ,234104
2022-07-17,晴れ,206879
2022-07-18,晴れ,175245
2022-07-19,晴れ,175770
2022-07-20,晴れ,182485
2022-07-21,くもり,172238
2022-07-22,晴れ,205574
2022-07-23,くもり,187518
2022-07-24,晴れ,200809
2022-07-25,晴れ,210565
2022-07-26,くもり,143057
2022-07-27,雨,141482
2022-07-28,雨,138558
2022-07-29,雨,160088
2022-07-30,くもり,201060
2022-07-31,雨,159133
2022-08-01,晴れ,193638
2022-08-02,晴れ,189635
2022-08-03,晴れ,183342
2022-08-04,晴れ,200224
2022-08-05,晴れ,208325
2022-08-06,晴れ,213058
2022-08-07,くもり,181720
2022-08-08,晴れ,206039
2022-08-09,晴れ,183864
2022-08-10,晴れ,182224
2022-08-11,晴れ,200539
2022-08-12,晴れ,205790
2022-08-13,くもり,190940
2022-08-14,くもり,183982
2022-08-15,雨,143808
2022-08-16,晴れ,184893
2022-08-17,晴れ,184755
2022-08-18,晴れ,198220
2022-08-19,くもり,193316
2022-08-20,晴れ,213766
2022-08-21,くもり,186654
2022-08-22,くもり,173543
2022-08-23,晴れ,175350
2022-08-24,晴れ,196242
2022-08-25,くもり,180644
2022-08-26,くもり,177772
2022-08-27,晴れ,232080
2022-08-28,くもり,177985
2022-08-29,晴れ,193146
2022-08-30,晴れ,178991
2022-08-31,晴れ,176362
